Organisation.1,Relationship,Organisation.2
CRANE,provides transaction funding to,Bucks Community NGO
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,is accountable to,Institute for International Workers Education
Center for Civilians in Conflict,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Nuffic,has project implemented by,IHE Delft Institute for Water Education
Handicap International Belgique,receives transaction funding from,Belgian Development Cooperation
Wetlands International,has project implemented by,Conseil et Appui pour l'Education à la Base Mali
KPMG LLP,has project implemented by,Rainforest Foundation UK
Chance for Childhood,receives transaction funding from,Charity Projects Ltd (Comic Relief)
Publish What You Fund,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Netherlands - Ministry of Foreign Affairs,has project implemented by,AWEPA
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,Mission Øst
United Nations Capital Development Fund,receives activity funding from,World Resources Institute
MSI Reproductive Choices,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Netherlands Enterprise Agency,has project implemented by,Aqua for All
Options Consultancy Services,has project implemented by,Amref Health Africa in Kenya
"Natural Resources Institute, University of Greenwich.",is accountable to,DAI Global Health
Aga Khan Foundation (United Kingdom),has project implemented by,Catholic Relief Services
Saferworld,receives transaction funding from,European Commission - Service for Foreign Policy Instruments
SOS Children's Villages The Netherlands,provides transaction funding to,Plan International Netherlands
"UK - Foreign, Commonwealth and Development Office",is accountable to,UK - Home Office
World Bank Trust Funds,receives activity funding from,African Development Bank
Caritas Denmark,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
UN Pooled Funds,provides transaction funding to,Food and Agriculture Organization of the United Nations (FAO)
UK - Department of Health and Social Care (DHSC),has project implemented by,University of Birmingham
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),receives activity funding from,Belgian Development Cooperation
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Integrity Action
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Norwegian Refugee Council
Netherlands Enterprise Agency,has project implemented by,Solidaridad Europe
Save the Children Netherlands,receives activity funding from,World Vision Netherlands
Stichting Vluchteling,provides transaction funding to,The International Rescue Committee
CARE International UK,provides transaction funding to,International Rescue Committee UK
"UK - Foreign, Commonwealth and Development Office",has project implemented by,HelpAge International
African Women's Development Fund,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Milieudefensie,provides transaction funding to,Friends of the Earth International
KIYO,has project implemented by,Viva Salud
MannionDaniels,has project implemented by,MAMTA - Health Institute for Mother and Child
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Mama Cash
Development Initiatives Poverty Research,receives activity funding from,The William and Flora Hewlett Foundation
Simavi,provides transaction funding to,Youth Net and Counselling - YONECO
Cardno Emerging Markets,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Leonard Cheshire Disability,is accountable to,MSI Reproductive Choices
Institute of Development Studies,provides transaction funding to,ChildHope UK
United Nations Children's Fund (UNICEF),receives activity funding from,OECD
Avocats Sans Frontières,receives activity funding from,Belgian Development Cooperation
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,Global Partnership for Education
Construction Sector Transparency Initiative (CoST),receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Collectif Stratégies Alimentaires,receives transaction funding from,Belgian Development Cooperation
openmindedly,provides transaction funding to,Karuna Trust
CREA,has project implemented by,Arab foundation for freedoms and equality
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,ADRA-UK
Solidaridad Europe,has project implemented by,Solidaridad West Africa
Simprints,has project implemented by,BRAC International
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Helvetas Swiss Intercooperation
Mott MacDonald Limited,receives transaction funding from,Cross-Government Prosperity Fund
Plan International UK,receives activity funding from,United Nations Development Programme (UNDP)
Institute for International Workers Education,has project implemented by,Wereldsolidariteit-Solidarité Mondiale (WSM)
MannionDaniels,has project implemented by,Christian Aid
DAI Europe,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
UN Pooled Funds,provides transaction funding to,United Nations Industrial Development Organization (UNIDO)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,African Development Bank
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,receives transaction funding from,Belgian Development Cooperation
openmindedly,provides transaction funding to,TB Alert
The MENTOR Initiative,provides transaction funding to,Solidarites International
Norwegian Refugee Council,is accountable to,International Organization for Migration (IOM)
MAG,has project implemented by,Geneva International Centre for Humanitarian Demining
The International Rescue Committee,has project implemented by,Action Against Hunger UK
Cardno Emerging Markets,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Plan International Netherlands,receives transaction funding from,Stichting Vluchteling
Small Arms Survey,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Link Community Development International,provides transaction funding to,Theatre for a Change UK
Institute of Development Studies,receives transaction funding from,The University of Manchester
UN Pooled Funds,is accountable to,United Nations Office for the Coordination of Humanitarian Affairs (OCHA)
British Council,provides transaction funding to,Pact
Iles de Paix,has project implemented by,SOS FAIM - SOS HUNGER
Drugs for Neglected Diseases initiative,receives transaction funding from,Switzerland - Swiss Agency for Development and Cooperation (SDC)
Centre for Humanitarian Dialogue (HD Centre),is accountable to,Conciliation Resources
Sightsavers,provides transaction funding to,BRAC UK
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Solidaridad West Africa
Action Against Hunger UK,receives transaction funding from,Disasters Emergency Committee
International Alert,receives transaction funding from,United States
International Rescue Committee UK,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
The William and Flora Hewlett Foundation,provides transaction funding to,Abdul Latif Jameel Poverty Action Lab at MIT
Malaria Consortium,provides transaction funding to,Catholic Relief Services
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,United Nations World Food Programme (WFP)
World Waternet,receives activity funding from,The World Bank
Crown Agents Limited,has project implemented by,World Vision International
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,University of Leeds
Access to Medicine Foundation,receives transaction funding from,UK - Department of Health and Social Care (DHSC)
Small Arms Survey,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Oxfam GB
"The Global Development Incubator, Inc",receives transaction funding from,Instiglio
Netherlands - Ministry of Foreign Affairs,has project implemented by,Article19
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Aktis Strategy Ltd
Save the Children Netherlands,has project implemented by,Save the Children DK
Belgian Development Cooperation,provides transaction funding to,Avocats Sans Frontières
Cordaid,receives activity funding from,United Nations Children's Fund (UNICEF)
Railway Children Africa,provides transaction funding to,CHEKA SANA TANZANIA
British Red Cross,has project implemented by,Red Cross Red Crescent Climate Centre
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Acumen
Commune de Lalo - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Village Enterprise,receives activity funding from,Mercy Corps Global
Belgian development agency (Enabel),receives activity funding from,"Gavi, the vaccine alliance"
Solidagro,has project implemented by,Viva Salud
Restless Development,receives transaction funding from,Bill & Melinda Gates Foundation
ODI Sales Limited,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
People in Need,receives activity funding from,United Nations Children's Fund (UNICEF)
Options Consultancy Services,has project implemented by,BBC Media Action
Concern Worldwide,has project implemented by,Catholic Relief Services
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,"The Population Council, Inc."
Malaria Consortium,receives transaction funding from,IntraHealth International
ActionAid Bangladesh,receives activity funding from,Netherlands - Ministry of Foreign Affairs
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,Danish Trade Union Development Agency (Ulandssekretariatet)
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),receives activity funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
World Vision Netherlands,provides transaction funding to,Stichting Vluchteling
People in Need,receives activity funding from,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Water & Sanitation for the Urban Poor (WSUP)
International Trade Centre (ITC),receives activity funding from,European Commission - Neighbourhood and Enlargement Negotiations
Voluntary Service Overseas (VSO),provides transaction funding to,Tearfund
World Vision UK,provides transaction funding to,World Vision Syria
Commune de Lalo - Bénin,receives transaction funding from,Ministère de l'Economie et des Finances du Bénin
Options Consultancy Services,receives activity funding from,International Planned Parenthood Federation
CARE Nederland,receives activity funding from,Plan International Netherlands
PRACTICA Foundation,receives activity funding from,Amref Flying Doctors
openmindedly,provides transaction funding to,International Rescue Committee UK
CARE Danmark Fonden for Frivillig Ulandsbistand,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
International Organization for Migration (IOM),receives transaction funding from,AECOM
SouthSouthNorth,has project implemented by,The University of Oxford
ICCO Cooperation,receives transaction funding from,ZOA
Guttmacher Institute,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Rainforest Foundation UK,receives transaction funding from,KPMG LLP
Stakeholder Democracy Network,receives transaction funding from,Niger Delta Stakeholders Initiative for Community Development and Empowerment
Food and Agriculture Organization of the United Nations (FAO),receives activity funding from,International Organization for Migration (IOM)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Women Peacemakers Program
Ireland - Department of Foreign Affairs and Trade,provides transaction funding to,United Nations World Food Programme (WFP)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Switzerland - Swiss Agency for Development and Cooperation (SDC)
MSI Reproductive Choices,provides transaction funding to,Ipas
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,TechnoServe
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS)
United Nations Children's Fund (UNICEF),receives activity funding from,International Labour Organization (ILO)
Restless Development,receives transaction funding from,Heifer International South Africa
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,United Nations Population Fund
Cordaid,has project implemented by,United Nations Industrial Development Organization (UNIDO)
Amref Flying Doctors,provides transaction funding to,African Centre for Global Health and Social Transformation
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,War Child Holland
Malaria Consortium,receives transaction funding from,World Health Organization
Amref Flying Doctors,is accountable to,Stichting Health Action International
Social Development Direct Limited,has project implemented by,Palladium International Ltd (UK)
Nathan Associates London Ltd.,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CARE International UK,is accountable to,Aga Khan Foundation (United Kingdom)
OCHA Country Based Pooled Funds,receives transaction funding from,France - Ministry for Europe and Foreign Affairs
Netherlands - Ministry of Foreign Affairs,has project implemented by,Women for Women International (UK)
World Vision Netherlands,receives transaction funding from,ZOA
Cowater International Inc,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Malaria Consortium,receives activity funding from,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Charity Projects Ltd (Comic Relief),is accountable to,Health Poverty Action
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,receives transaction funding from,Belgian Development Cooperation
Practical Action,receives activity funding from,Germany - Ministry for Economic Cooperation and Development
World Vision Netherlands,has project implemented by,CARE Nederland
MannionDaniels,has project implemented by,Digital Campus
CARE Nederland,receives transaction funding from,Oxfam Novib
Oxfam-Magasins du monde (omdm),has project implemented by,Miel Maya Honing asbl
The Open University,has project implemented by,The University of Manchester
Belgian Development Cooperation,provides transaction funding to,FONCABA ASBL KBA VZW
Social Development Direct Limited,receives transaction funding from,PwC
MannionDaniels,has project implemented by,ADRA-UK
"UK - Department for Environment, Food and Rural Affairs",provides transaction funding to,Zoological Society of London
Concern Worldwide,has project implemented by,Welthungerhilfe
DAI Global Health,is accountable to,Sightsavers
ActionAid Rwanda,has project implemented by,ActionAid UK
Amref Flying Doctors,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Mifumi UK,has budget/direction managed by,Triple Line
Netherlands - Ministry of Foreign Affairs,has project implemented by,Free Press Unlimited
SOS Children's Villages The Netherlands,has project implemented by,CARE Nederland
Young Africa International HUB,has project implemented by,International Organization for Migration (IOM)
Leonard Cheshire Disability,provides transaction funding to,International Labour Organization (ILO)
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Hivos
Mama Cash,has project implemented by,Just Associates
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),receives activity funding from,Germany - Ministry for Economic Cooperation and Development
Oxfam-Magasins du monde (omdm),receives transaction funding from,Belgian Development Cooperation
War Child Holland,receives activity funding from,Plan International UK
DCAF - Geneva Centre for Security Sector Governance,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
Action Against Hunger UK,is accountable to,United Nations World Food Programme (WFP)
Netherlands - Ministry of Foreign Affairs,has project implemented by,Netherlands Institute for Multiparty Democracy (NIMD)
BBC Media Action,receives activity funding from,Palladium International Ltd (UK)
WNF Wereld Natuur Fonds,receives transaction funding from,IUCN Nederlands Comité
Restless Development,receives transaction funding from,HelpAge International
Belgian Development Cooperation,provides transaction funding to,Louvain Coopération
ABAAD - Resource Center for Gender Equality,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MAG,has project implemented by,The HALO Trust
MannionDaniels,provides transaction funding to,Leonard Cheshire Disability
IRC,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Frontline AIDS,receives activity funding from,Aidsfonds - Soa Aids Nederland
United Nations Central Emergency Response Fund (CERF),receives transaction funding from,Belgian Development Cooperation
Village Enterprise,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
The Open University,has project implemented by,International Rescue Committee UK
Dorcas Aid International,receives activity funding from,Terre des Hommes Netherlands
MannionDaniels,provides transaction funding to,Afghanaid
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,AECOM
Association CHS Alliance,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Palladium International Ltd (UK),has project implemented by,Options Consultancy Services
BBC Media Action,receives activity funding from,United Nations Office for Project Services (UNOPS)
The Global Alliance for Improved Nutrition,receives activity funding from,The World Bank
International Network of People who Use Drugs (INPUD),plans to receive transaction funding from,Aidsfonds - Soa Aids Nederland
Netherlands - Ministry of Foreign Affairs,has project implemented by,Saferworld
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,CDA Collaborative Learning Projects
Royal Netherlands Football Association,has project implemented by,Right to Play Netherlands Foundation
Plan International Netherlands,receives activity funding from,Save the Children Netherlands
United Nations Central Emergency Response Fund (CERF),receives activity funding from,Finland - Ministry for Foreign Affairs
Belgian Development Cooperation,provides transaction funding to,Solidagro
International Planned Parenthood Federation,receives activity funding from,Australia - Department of  Foreign Affairs and Trade
MannionDaniels,provides transaction funding to,Amnesty International UK Section Charitable Trust
ICCO Cooperation,receives activity funding from,Edukans Foundation
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,Save the Children UK
Oxfam Novib,has project implemented by,TEAR fund Nederland
United Nations High Commissioner for Refugees (UNHCR),receives transaction funding from,Finland - Ministry for Foreign Affairs
UNITAID,provides transaction funding to,United Nations Population Fund
World Vision Netherlands,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Asia Justice and Rights,receives activity funding from,Netherlands - Ministry of Foreign Affairs
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Nathan Associates London Ltd.
Conciliation Resources,receives transaction funding from,Saferworld
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,IUCN Nederlands Comité
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Triple Line
Fairtrade Labelling Organizations International e.V.,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
British Council,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
United Nations Development Programme (UNDP),receives activity funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,provides transaction funding to,Haiti Hospital Appeal
Netherlands - Ministry of Foreign Affairs,has project implemented by,DECP
Mission Øst,receives activity funding from,CISU
SOS Children's Villages The Netherlands,receives activity funding from,Netherlands - Ministry of Foreign Affairs
World Resources Institute,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Mama Cash,provides transaction funding to,CREA
CGIAR,receives activity funding from,World Vision International
Belgian Development Cooperation,provides transaction funding to,SOS Kinderdorpen België / SOS Villages d'Enfants Belgique
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Delivery Associates Ltd
IMC WORLDWIDE,provides transaction funding to,Nathan Associates London Ltd.
"Conflict, Stability and Security Fund",is accountable to,"UK - Foreign, Commonwealth and Development Office"
The Open University,has project implemented by,Frontline AIDS
Disasters Emergency Committee,provides transaction funding to,Christian Aid
"Conflict, Stability and Security Fund",is accountable to,UK - Home Office
OCHA Country Based Pooled Funds,receives activity funding from,Norad - Norwegian Agency for Development Cooperation
International Rescue Committee UK,receives activity funding from,Norad - Norwegian Agency for Development Cooperation
Netherlands - Ministry of Foreign Affairs,has project implemented by,Both ENDS
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Toffo - Bénin
Programming Their Future,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Elton John AIDS Foundation,has project implemented by,Frontline AIDS
International Development Law Organization (IDLO),receives activity funding from,Canada - International Development Research Centre/Centre de recherches pour le développement international
International Organization for Migration (IOM),receives activity funding from,The World Bank
Conciliation Resources,has project implemented by,Saferworld
Girls’ Education Challenge – Fund Manager PwC,provides transaction funding to,World University Service of Canada
International Labour Organization (ILO),receives activity funding from,United Nations Children's Fund (UNICEF)
Aidsfonds - Soa Aids Nederland,is accountable to,COC Nederland
Mercy Corps Global,has budget/direction managed by,IDEO.org
Oxfam Intermón,receives activity funding from,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Stichting Woord en Daad,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Save the Children UK,has project implemented by,Save the Children International
Amref Flying Doctors,receives activity funding from,Rutgers
MannionDaniels,provides transaction funding to,Acid Survivors Foundation
ActionAid UK,has project implemented by,ActionAid Bangladesh
equileap,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
MannionDaniels,has project implemented by,Mercy Ships UK Limited
International Labour Organization (ILO),receives activity funding from,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development
International Rescue Committee UK,receives transaction funding from,Concern Worldwide UK
Handicap International UK,receives transaction funding from,The International Rescue Committee
Commune de Allada - Bénin,receives activity funding from,Ministère de l'Economie et des Finances du Bénin
Amref Health Africa Headquarters,receives activity funding from,Amref Flying Doctors
Plan International Netherlands,has project implemented by,CHOICE for Youth and Sexuality
Sightsavers,receives activity funding from,Ireland - Department of Foreign Affairs and Trade
Opportunity International UK,receives transaction funding from,PwC
The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),receives transaction funding from,Belgian Development Cooperation
"UK - Foreign, Commonwealth and Development Office",has project implemented by,International Organization for Migration (IOM)
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Transparency International Bangladesh
International Center for Not-for-Profit Law,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Islamic Relief Worldwide,has budget/direction managed by,MannionDaniels
International Bureau of Fiscal Documentation (IBFD),receives activity funding from,Netherlands - Ministry of Foreign Affairs
The National Association of Municipalities of Benin (ANCB),plans to provide transaction funding to,Commune de Kpomassè - Bénin
Concern Worldwide,has project implemented by,Ipas
RCN Justice & Démocratie,receives activity funding from,Netherlands - Ministry of Foreign Affairs
International Network for Advancing Science and Policy,provides transaction funding to,Uganda Martyrs University
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,International Planned Parenthood Federation
Conflict Dynamics International,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
World Horse Welfare,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Giro555 (Stichting Samenwerkende Hulporganisaties),is accountable to,Terre des Hommes Netherlands
Charity Projects Ltd (Comic Relief),is accountable to,Concern Worldwide UK
Switzerland - Swiss Agency for Development and Cooperation (SDC),has project implemented by,Food and Agriculture Organization of the United Nations (FAO)
Institute of Development Studies,provides transaction funding to,Oxfam GB
Danish Refugee Council,is accountable to,Crown Agents Limited
International Trade Centre (ITC),receives activity funding from,United States Agency for International Development (USAID)
Ipas,receives activity funding from,MSI Reproductive Choices
Tropical Health and Education Trust,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
PwC,has project implemented by,Nathan Associates London Ltd.
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),has project implemented by,United Nations Office for Project Services (UNOPS)
ActionAid UK,provides transaction funding to,ACTIONAID INTERNATIONAL KENYA
The Open University,is accountable to,PwC
GOAL,provides transaction funding to,The International Rescue Committee
Coffey International Development,has project implemented by,Social Development Direct Limited
Handicap International UK,is accountable to,Plan International UK
British & Irish Agencies Afghanistan Group,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
CGIAR,receives activity funding from,Millennium Challenge Corporation
HelpAge International UK,receives transaction funding from,Finn Church Aid (Kirkon Ulkomaanapu sr)
Charity Projects Ltd (Comic Relief),is accountable to,Children in Crisis
MannionDaniels,provides transaction funding to,Afghanistan and Central Asian Association
IMC WORLDWIDE,provides transaction funding to,LTS International Limited
Plan International Netherlands,receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Nepal Netra Jyoti Sangh,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Save the Children Netherlands,has project implemented by,Oxfam Novib
MannionDaniels,provides transaction funding to,Anti-Slavery International
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Amnesty International UK Section Charitable Trust
Plan International UK,receives transaction funding from,United Nations Development Programme (UNDP)
The National Association of Municipalities of Benin (ANCB),plans to provide transaction funding to,Commune de Aplahoué - Bénin
AWEPA,receives transaction funding from,Netherlands Institute for Multiparty Democracy (NIMD)
Giro555 (Stichting Samenwerkende Hulporganisaties),is accountable to,Plan International Netherlands
Iles de Paix,has project implemented by,Autre Terre asbl
The International Rescue Committee,provides transaction funding to,Restless Development
"Conflict, Stability and Security Fund",has budget/direction managed by,"UK - Foreign, Commonwealth and Development Office"
KPMG East Africa,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Terre des Hommes Netherlands
Crown Agents Limited,provides transaction funding to,Oxfam GB
"Conflict, Stability and Security Fund",has budget/direction managed by,UK - Home Office
Concern Worldwide UK,receives activity funding from,Education Development Trust
Plan International Netherlands,has project implemented by,Defence for Children International Netherlands - ECPAT Netherlands
Action Against Hunger UK,has budget/direction managed by,MannionDaniels
ACTIONAID INTERNATIONAL KENYA,provides transaction funding to,Leonard Cheshire Disability
CGIAR,receives transaction funding from,Concern Worldwide
DAI Global Health,has project implemented by,Save the Children International
Practical Action,receives activity funding from,Coffey International Development
Mercy Corps Europe,has project implemented by,The International Rescue Committee
Queen Rania Foundation for Education and Development,receives activity funding from,Canada - Global Affairs Canada | Affaires mondiales Canada
Rene Moawad Foundation,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
ZOA,provides transaction funding to,CARE Nederland
Mercy Corps Europe,receives activity funding from,Farm Africa
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,GOAL
Medecins du Monde France,receives activity funding from,Netherlands - Ministry of Foreign Affairs
VNG International,receives activity funding from,Netherlands - Ministry of Foreign Affairs
ZOA,receives transaction funding from,Terre des Hommes Netherlands
United Nations Central Emergency Response Fund (CERF),is accountable to,United Nations High Commissioner for Refugees (UNHCR)
ZOA,provides transaction funding to,Plan International UK
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,WASTE advisers on urban environment and development
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Cowater International Inc
MannionDaniels,has project implemented by,LAMB Health Care Foundation
International Organization for Migration (IOM),receives activity funding from,Norwegian Refugee Council
Welthungerhilfe,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
The University of Oxford,has project implemented by,The University of Manchester
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,World Economic Forum
Netherlands Enterprise Agency,has project implemented by,VNG International
The Open University,is accountable to,British Council
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,European Bank for Reconstruction and Development
Sightsavers,has project implemented by,Sense International
United Nations Central Emergency Response Fund (CERF),receives transaction funding from,Germany - Ministry for Economic Cooperation and Development
CODEART ASBL,receives transaction funding from,Belgian Development Cooperation
ICCO Cooperation,receives activity funding from,Youth Business International
Netherlands - Ministry of Foreign Affairs,has project implemented by,Belgian development agency (Enabel)
Saferworld,is accountable to,Pact
SCI Projets Internationaux ASBL_Service Civil International branche belge,receives activity funding from,Belgian Development Cooperation
Handicap International UK,has budget/direction managed by,Save the Children UK
ActionAid UK,receives transaction funding from,Disasters Emergency Committee
Simavi,has project implemented by,Wetlands International
Action Against Hunger UK,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
SOS FAIM - SOS HUNGER,has project implemented by,Iles de Paix
Voluntary Service Overseas (VSO),receives transaction funding from,MannionDaniels
Netherlands Enterprise Agency,has project implemented by,FMO
Amref Flying Doctors,has project implemented by,Amref Health Africa in Kenya
"UK - Foreign, Commonwealth and Development Office",provides transaction funding to,Natural Resource Governance Institute (NRGI)
Malaria Consortium,receives activity funding from,HealthNet TPO
Amref Flying Doctors,has project implemented by,Wemos Foundation
MannionDaniels,provides transaction funding to,Carers Worldwide
Belgian Development Cooperation,provides transaction funding to,Union des Villes et Communes de Wallonie (UVCW)
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,ZOA
KPMG East Africa,has project implemented by,Christian Blind Mission (UK) Ltd.
World Vision Germany,receives transaction funding from,Germany - Federal Foreign Office
CARE Nederland,receives activity funding from,Giro555 (Stichting Samenwerkende Hulporganisaties)
Sightsavers,receives activity funding from,Orbis Charitable Trust
Plan International UK,has project implemented by,Christian Blind Mission (UK) Ltd.
Action Contre la Faim,receives activity funding from,Crown Agents Limited
Plan International UK,has budget/direction managed by,The International Rescue Committee
Germany - Ministry for Economic Cooperation and Development,receives activity funding from,Netherlands - Ministry of Foreign Affairs
World Vegetable Center,receives transaction funding from,The World Bank
CARE Nederland,receives transaction funding from,World Vision Netherlands
The Power of Nutrition,provides transaction funding to,The World Bank
Orbis International,has project implemented by,Orbis Africa
Danish Refugee Council,receives activity funding from,United Nations Office for Project Services (UNOPS)
Ecorys UK,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Ministère de l'Economie et des Finances du Bénin,provides transaction funding to,Commune de Akpro-Missérété - Bénin
MannionDaniels,provides transaction funding to,Christian Blind Mission (UK) Ltd.
"UK - Foreign, Commonwealth and Development Office",has project implemented by,AgDevCo
Coffey International Development,receives transaction funding from,DAI Europe
Mama Cash,has project implemented by,Association for Women's Rights in Development (AWID)
Canada - Global Affairs Canada | Affaires mondiales Canada,provides transaction funding to,"Gavi, the vaccine alliance"
PAX,has project implemented by,Amnesty International The Netherlands
Dorcas Aid International,provides transaction funding to,Save the Children Netherlands
Compassion UK,receives transaction funding from,MannionDaniels
United Nations Children's Fund (UNICEF),has project implemented by,Japan International Cooperation Agency (JICA)
Food and Agriculture Organization of the United Nations (FAO),receives transaction funding from,International Organization for Migration (IOM)
CARE International UK,receives activity funding from,United Nations Development Programme (UNDP)
Viva Salud,has project implemented by,KIYO
Adam Smith International,receives transaction funding from,"Denmark - Ministry of Foreign Affairs, Danida"
Oxfam Novib,has project implemented by,Save the Children International
MannionDaniels,has project implemented by,Women and Children First (UK)
Ministère de l'Economie et des Finances du Bénin,provides transaction funding to,Commune de Comè - Bénin
UNITAID,provides transaction funding to,"The Global Fund to Fight AIDS, Tuberculosis and Malaria"
Dawuro Development Association,has project implemented by,Send a Cow Ethiopia
Guttmacher Institute,has project implemented by,Kwame Nkrumah University of Science and Technology
"UK - Foreign, Commonwealth and Development Office",has project implemented by,Red Cross Red Crescent Climate Centre
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Pobè - Bénin
European Commission - Humanitarian Aid & Civil Protection,has project implemented by,Danish Red Cross
